simulation_ts,equity
1767798845503000000,71239.65
1767798967203000000,69870.7
1767799088903000000,67280.25
1767799202903000000,66882.4
1767799318803000000,68100.75
1767799441203000000,68252.6
1767799559803000000,67456.35
1767799680203000000,67295.2
1767799796503000000,68143.95
1767799920203000000,66868.6
1767800038303000000,67439.75
1767800158503000000,67984.4
1767800280203000000,68845.15
1767800402203000000,68381.6
1767800522203000000,69123.55
1767800644203000000,68885.5
1767800765303000000,68621.45
1767800895103000000,69255.3
1767800998103000000,69491.65
1767801116403000000,69821.1
1767801235703000000,69034.45
1767801359803000000,68936.3
1767801480303000000,68732.25
1767801594803000000,68581.2
1767801712503000000,68720.35
1767801832103000000,68958.2
